RA(deg),Dec(deg),VTMag,Altitude (deg),Azimuth (deg)
0.00091185,1.08901332,9.1,9.36451121794404,90.91493757276874
0.00379737,-19.49883745,9.27,4.501278668378556,111.0743869105108
0.00500795,38.85928608,6.61,14.900329920288184,52.650058023207336
0.0083817,-51.89354612,8.06,-3.9941233432832197,142.3626462695866
0.00996534,-40.5912244,8.55,-1.0387215766453446,131.44242229781682
0.01814144,3.94648893,12.31,9.944037934579647,88.07669097883344
0.02254891,20.03660216,9.64,12.809473484809184,71.92300262338172
0.0272916,25.88647445,9.05,13.612082767548612,65.97088135801833
0.03534189,36.58593777,8.59,14.708092485499014,54.993158450461074
0.03625309,-50.8670736,8.59,-3.747001126625421,141.3639914858183
0.03729695,46.94000154,7.34,15.280266875514963,44.28948665325333
0.04091756,-35.96022482,8.43,0.16550397436882372,126.9707180689155
0.0416797,-22.5946806,8.8,3.6740428121265127,114.06534191711424
0.04827189,-0.36042119,7.25,9.007114539264267,92.33861618627519
0.0503089,50.79117384,8.6,15.356194448723455,40.2971649915038
0.05109957,-40.19232842,8.15,-0.9633559257792926,131.04942211614647
0.05140852,-54.91412819,11.71,-4.787999339754747,145.285587979528
0.05313923,-4.05373813,11.03,8.185050130679723,95.98007787295066
0.05331696,38.30408636,6.53,14.823690923674114,53.220309635316184
0.0629505,23.52928397,8.51,13.271098426179918,68.36915866105689
0.06623569,8.00723437,7.55,10.703269716004328,84.02171514811111
0.07013593,-49.35226686,8.69,-3.377065874166743,139.89212823770924
0.0744293,13.31221083,7.57,11.669149367362747,78.70442541122081
0.07604979,-23.45274913,9.05,3.4220083488726174,114.88770146376407
0.07936537,-44.29029741,6.28,-2.0636402745847566,134.998179528642
0.08434579,-13.39329686,9.13,5.952008519551291,105.11856512777982
0.08546976,-41.29753696,9.32,-1.2804073625444465,132.10863949602208
0.08724871,-43.36179962,8.83,-1.8252698250184,134.10031815536686
0.09213106,-49.10795505,9.14,-3.3277634659905146,139.65201471761253
0.09613563,42.14149882,8.26,15.033157565004302,49.25460824019454
0.0980939,2.67547768,7.63,9.603528899100413,89.32186390310511
0.09858375,51.9394905,9.09,15.337986665872927,39.106120584849336
0.09918083,-10.46245445,8.1,6.647881605999276,102.25432011921835
0.09946973,26.91823821,6.43,13.67604822529796,64.90913300506071
0.10256052,-14.49048072,9.07,5.66523786774941,106.18316931339301
0.1032755,12.26709303,7.68,11.457056338540683,79.74935729051317
0.1053519,-47.17958382,10.44,-2.8361521930919604,137.78474159827792
0.11104694,-79.06183133,8.65,-10.324991372892832,169.0073376607057
0.11186148,-16.6969302,7.46,5.108638638084187,108.32764845690784
0.11656351,54.30223774,8.7,15.33296526506737,36.65609573068403
0.12196971,67.21679125,10.61,14.894534989544825,23.284269051287524
0.12538666,25.84478059,8.2,13.51925188442548,66.0019407579703
0.129089,59.55973786,6.18,15.244363748596692,31.206287575966584
0.1327223,-3.30636174,7.91,8.275745473611629,95.22625451660072
0.13420453,-72.20271031,9.59,-8.908643266648438,162.20040171337962
0.13454429,-25.62225277,8.57,2.8082812200235083,116.97223929887626
0.13519236,-56.83524773,10.78,-5.31460275942331,147.1408280866591
0.13522264,-40.69044664,7.31,-1.1565951087315882,131.51302266479033
0.13950066,16.66903183,9.53,12.173651653143674,75.31203941618362
0.14287059,-53.09766277,6.49,-4.380506000879383,143.50901599800102
0.14339044,1.06619726,8.94,9.22047064773042,90.90682069043004
0.14665879,-77.0201405,8.56,-9.923262084768707,166.97396858476307
0.14739023,-29.26338247,10.96,1.8463962877271853,120.48677938987774
0.15165558,17.96895579,10.57,12.370774596217112,73.99708283972646
0.15783323,-66.68310336,7.4,-7.684442475911346,156.7614593389769
0.16283175,0.22293899,8.12,9.021139037951013,91.7368720427354
0.16828557,-69.67580068,8.27,-8.364740232697095,159.70450345048522
0.17376341,62.17600484,7.05,15.134072503441752,28.497582345760428
0.17444749,55.72246267,9.09,15.291159560453472,35.18382424798024
0.17542318,-64.46582516,8.34,-7.177411029088262,154.5847421445909
0.17615726,53.82218625,8.86,15.298717432214715,37.15388136728451
0.17996123,-45.42272731,8.27,-2.428570721553989,136.0733291424856
0.1817495,45.25333305,6.36,15.119530400819569,46.032437773167956
0.18458893,-27.90754614,8.08,2.1696786991547374,119.16890666289316
0.18797532,-54.83034057,11.0,-4.84297769148225,145.18437801077172
0.18854917,-72.31824913,8.55,-8.949766279964097,162.3109708963575
0.19910132,23.53824873,7.83,13.148663749888222,68.34255032016814
0.20063628,16.98896499,8.79,12.167859859501165,74.97938267660564
0.20137175,30.39589283,8.33,13.98832618968676,61.340924508871645
0.20280014,36.77763945,10.42,14.589525039768816,54.78457290079397
0.20709981,36.78015328,8.26,14.586294040824225,54.781698224845904
0.21946989,-12.82867015,8.97,5.962219305372847,104.535775376521
